community,size,mean.degree,mean.strength,total.degree,total.strength,relative.size
Varela,151,17.3841059602649,135.74834437086093,2625,20498,0.1389144434222631
Gallese,156,27.83974358974359,168.17948717948718,4343,26236,0.14351425942962281
Dreyfus,120,14.683333333333334,92.4,1762,11088,0.11039558417663294
Morris,18,24.555555555555557,109.11111111111111,442,1964,0.01655933762649494
Clark,253,18.59288537549407,122.75098814229248,4704,31056,0.23275068997240111
Gallagher,195,17.487179487179485,138.02051282051283,3410,26914,0.17939282428702852
Watsuji,12,9.25,38.833333333333336,111,466,0.011039558417663294
Damasio,122,16.90983606557377,87.44262295081967,2063,10668,0.11223551057957681
Bratman,48,16.395833333333332,87.58333333333333,787,4204,0.04415823367065318
