name,strength,community
Husserl E,1957,Husserl
Fink E,175,Husserl
Bernet R,173,Husserl
Biemel W,120,Husserl
Kern I,104,Husserl
Lohmar D,100,Husserl
Melle U,95,Husserl
Landgrebe L,93,Husserl
Held K,87,Husserl
Welton D,57,Husserl
Zahavi D,215,Zahavi
Drummond J,141,Zahavi
Gurwitsch A,95,Zahavi
Moran D,85,Zahavi
Carr D,85,Zahavi
Crowell S,83,Zahavi
Smith Dw,78,Zahavi
Luft S,73,Zahavi
Follesdal D,71,Zahavi
Smith B,61,Zahavi
Scheler M,153,Schuhmann
Schuhmann K,139,Schuhmann
Spiegelberg H,109,Schuhmann
Mulligan K,55,Schuhmann
Reinach A,49,Schuhmann
Geiger M,30,Schuhmann
Pfander A,30,Schuhmann
Lipps T,26,Schuhmann
Meinong A,26,Schuhmann
Hartmann N,23,Schuhmann
Brentano F,141,Brentano
Frege G,47,Brentano
Stumpf C,45,Brentano
Dummett M,35,Brentano
Rollinger R,32,Brentano
Bolzano B,25,Brentano
Deharo A,24,Brentano
Twardowski K,24,Brentano
Geniusas S,23,Brentano
Sokolowski R,137,Sokolowski
Hart J,65,Sokolowski
Brough J,57,Sokolowski
Mohanty J,121,Mohanty
Cairns D,93,Mohanty
Embree L,36,Mohanty
Farber M,31,Mohanty
Edie J,23,Mohanty
Behnke E,21,Mohanty
Steinbock A,113,Steinbock
Holenstein E,42,Steinbock
Leibniz G,38,Steinbock
Walton R,38,Steinbock
Iribarne J,26,Steinbock
Ingarden R,85,Ingarden
Quine W,63,Quine
Becker O,35,Quine
Weyl H,35,Quine
Tieszen R,33,Quine
Carnap R,28,Quine
Godel K,24,Quine
Parsons C,24,Quine
Schlick M,22,Quine
Wang H,21,Quine
Ryle G,35,Ryle
Hopkins B,31,Hopkins
